nconst,averageRating,primaryName,coefficients,count,predictRating
nm0000106,5.996774193548388,Drew Barrymore,-0.054224183526417696,31,5.996791685220492
nm0000107,5.880952380952381,Kim Basinger,-0.13493231588596327,21,5.88101663443614
nm0000108,6.64,Luc Besson,0.6503900768530961,15,6.639566406615436
nm0000110,6.6000000000000005,Kenneth Branagh,0.07756124382733526,28,6.599972299555773
nm0000111,5.957142857142856,Matthew Broderick,-0.19234002693365296,28,5.957211550009619
nm0000112,6.2153846153846155,Pierce Brosnan,-0.16444541031672524,39,6.215426780874445
nm0000113,6.2282051282051265,Sandra Bullock,0.0011709936778485893,39,6.228204827950346
nm0000114,6.449999999999998,Steve Buscemi,0.3672152024884857,36,6.449897995777089
nm0000115,5.728395061728395,Nicolas Cage,-0.43752803542130697,81,5.728449077535236
nm0000116,7.62,James Cameron,1.67339685827218,5,7.616653206283452
nm0000117,5.922727272727273,Neve Campbell,-0.11968678202119284,22,5.922781675810011
nm0000118,5.885714285714285,John Carpenter,0.25178360432611263,7,5.885354594850964
nm0000119,5.49090909090909,Tia Carrere,-0.07200695002604311,11,5.490974551772754
nm0000120,6.611538461538462,Jim Carrey,0.16200802549743615,26,6.611476150759428
nm0000121,6.0600000000000005,Phoebe Cates,0.8100071456429139,5,6.058379985708716
nm0000123,6.635294117647059,George Clooney,-0.13523524540516568,34,6.635333892719234
nm0000124,6.509999999999999,Jennifer Connelly,-0.1181574085760084,30,6.510039385802859
nm0000125,6.126666666666666,Sean Connery,-0.0801085222013118,15,6.126720072348133
nm0000126,6.74,Kevin Costner,0.3264288648452763,35,6.739906734610048
nm0000127,5.9818181818181815,Wes Craven,0.3671080990788709,11,5.981484447182653
nm0000128,6.710526315789473,Russell Crowe,0.12304301506230952,38,6.710493936048669
nm0000129,6.99,Tom Cruise,0.04145856601753072,30,6.989986180477996
nm0000130,6.010000000000001,Jamie Lee Curtis,-0.0009565670134053663,20,6.010000478283506
nm0000131,6.071698113207546,John Cusack,-0.05000695763571982,53,6.07170754848257
nm0000132,6.239999999999999,Claire Danes,-0.39934558092751476,20,6.240199672790466
nm0000133,6.230769230769231,Geena Davis,0.07488960775163653,13,6.230711623378644
nm0000134,6.4593750000000005,Robert De Niro,0.13200910902520668,64,6.459354373576717
nm0000136,6.769999999999998,Johnny Depp,0.25290657921629967,50,6.769949418684161
nm0000138,7.368965517241379,Leonardo DiCaprio,0.22944102520736753,29,7.36888639964648
nm0000139,6.24857142857143,Cameron Diaz,-0.4301180385197146,35,6.248694319439575
nm0000140,6.476923076923076,Michael Douglas,-0.09621036439545712,26,6.476960080909371
nm0000141,6.211764705882354,David Duchovny,0.09351953785158222,17,6.211709694389497
nm0000142,7.037931034482761,Clint Eastwood,0.850025617357766,29,7.0376379222009176
nm0000143,4.900000000000001,Erika Eleniak,0.49614590120480984,6,4.899173090164649
nm0000144,6.01904761904762,Cary Elwes,-0.03718651583026978,21,6.019065326912301
nm0000145,4.970000000000001,Sherilyn Fenn,-0.6145578466100127,10,4.970614557846617
nm0000146,6.702500000000001,Ralph Fiennes,0.17169111622243854,40,6.702457077220946
nm0000147,6.410256410256411,Colin Firth,0.060091597158205064,39,6.410241002154576
nm0000148,6.523076923076922,Harrison Ford,-0.160172415721196,26,6.523138527852207
nm0000149,6.749999999999998,Jodie Foster,0.15229970875397053,20,6.749923850145626
nm0000150,6.42857142857143,Michael J. Fox,0.05997535027713253,14,6.428528589035515
nm0000151,6.492592592592592,Morgan Freeman,0.1133506890083957,54,6.492571601724259
nm0000152,6.172727272727272,Richard Gere,-0.06980759179401971,33,6.172748426542969
nm0000153,5.65,Gina Gershon,-0.3173742633765513,20,5.650158687131689
