tconst,averageRating,numVotes,originalTitle,startYear,predictRating,residuals
tt0099512,5.4,9276,Ernest Goes to Jail,1990,4.681666993847812,0.7183330061521884
tt0099520,5.1,1151,Everybody Wins,1990,5.842082725409215,-0.7420827254092153
tt0099524,4.0,2728,Evil Toons,1992,4.677418333408507,-0.6774183334085073
tt0099528,6.4,29328,The Exorcist III,1990,5.286741881594475,1.1132581184055255
tt0099545,5.8,1416,Fantozzi alla riscossa,1990,5.529641814953031,0.27035818504696874
tt0099557,6.1,1130,Fear,1990,5.601294483862499,0.4987055161375009
tt0099558,7.3,19749,Fei ying gai wak,1991,6.200535291288704,1.099464708711296
tt0099566,7.4,5937,The Field,1990,7.167755603175369,0.2322443968246315
tt0099575,4.8,6261,Fire Birds,1990,5.60147219256437,-0.8014721925643702
tt0099578,5.7,4005,The First Power,1990,4.906347712624067,0.7936522873759335
tt0099581,6.2,5323,Flashback,1990,6.2642585490072245,-0.06425854900722427
tt0099582,6.6,83444,Flatliners,1990,6.150417349754217,0.4495826502457829
tt0099587,5.8,6794,Flight of the Intruder,1991,5.63858912607826,0.16141087392173947
tt0099595,3.9,1702,The Forbidden Dance,1990,5.688674115809489,-1.788674115809489
tt0099606,5.6,1538,The Fourth War,1990,5.831661289735936,-0.23166128973593647
tt0099611,6.2,9841,Frankenhooker,1990,5.277085069487022,0.9229149305129782
tt0099612,5.5,3713,Roger Corman's Frankenstein Unbound,1990,5.83373168752753,-0.33373168752753024
tt0099615,6.5,19552,The Freshman,1990,6.757984101304695,-0.25798410130469485
tt0099623,4.9,1424,Funny About Love,1990,5.62414665238283,-0.7241466523828297
tt0099636,4.8,2167,The Gate II: Trespassers,1990,5.159958423762327,-0.35995842376232723
tt0099637,5.6,3245,Un gatto nel cervello,1990,5.103359178951138,0.496640821048862
tt0099652,7.6,4273,Ghayal,1990,7.852105609671906,-0.2521056096719061
tt0099653,7.1,205666,Ghost,1990,6.8249496743186935,0.27505032568130616
tt0099654,4.4,7821,Ghost Dad,1990,5.683104201625693,-1.2831042016256928
tt0099669,7.6,6348,La gloire de mon père,1990,7.640902525737258,-0.040902525737258166
tt0099674,7.6,375490,The Godfather: Part III,1990,6.911316060157103,0.688683939842897
tt0099685,8.7,1071415,Goodfellas,1990,7.945922424683642,0.7540775753163569
tt0099697,5.0,10748,Graveyard Shift,1990,5.579651499514229,-0.5796514995142292
tt0099699,6.2,23568,Green Card,1990,6.787841450101568,-0.5878414501015676
tt0099700,6.4,98258,Gremlins 2: The New Batch,1990,6.133641894550334,0.2663581054496662
tt0099701,4.7,2098,The Rift,1990,5.545955841891913,-0.8459558418919126
tt0099703,6.9,26738,The Grifters,1990,6.544799100168537,0.3552008998314635
tt0099710,5.4,5461,The Guardian,1990,5.94663074135693,-0.54663074135693
tt0099720,4.4,1201,Guns,1990,3.451811747399712,0.9481882526002883
tt0099726,6.7,21987,Hamlet,1990,6.789215376682167,-0.08921537668216661
tt0099729,8.0,6573,Hamoun,1990,7.100891648750286,0.8991083512497138
tt0099731,6.0,9434,The Handmaid's Tale,1990,6.113602736601768,-0.11360273660176823
tt0099739,5.8,28911,Hard to Kill,1990,5.359758225632357,0.4402417743676432
tt0099740,6.0,14980,Hardware,1990,6.177795788078177,-0.17779578807817664
tt0099747,6.1,7734,Havana,1990,6.433831423484776,-0.3338314234847761
tt0099750,5.6,3462,Heart Condition,1990,5.930920730778253,-0.3309207307782538
tt0099762,6.3,12925,Henry & June,1990,6.488712150576761,-0.1887121505767615
tt0099768,6.9,3902,Hidden Agenda,1990,6.275756402099735,0.6242435979002652
tt0099776,7.6,15758,Europa Europa,1990,6.667209584961117,0.932790415038883
tt0099785,7.6,508232,Home Alone,1990,6.999876189612293,0.6001238103877062
tt0099797,6.4,11395,The Hot Spot,1990,6.5140519106399974,-0.11405191063999709
tt0099800,6.5,14220,House Party,1990,5.988640394819483,0.5113596051805169
tt0099810,7.6,188474,The Hunt for Red October,1990,6.124832602361535,1.4751673976384643
tt0099812,5.8,3458,Huo shao dao,1990,5.953050829497205,-0.1530508294972055
tt0099816,6.7,2715,Haakon Haakonsen,1990,6.341702216688784,0.3582977833112162
tt0099817,6.1,11219,Dark Angel,1990,5.948114655891982,0.15188534410801768
tt0099818,7.2,6085,I Hired a Contract Killer,1990,6.884683615349535,0.3153163846504654
tt0099819,6.4,14084,I Love You to Death,1990,6.561597197330258,-0.16159719733025746
tt0099832,5.7,1255,Impulse,1990,5.607497507678405,0.09250249232159558
tt0099850,6.5,19026,Internal Affairs,1990,6.076500312234715,0.42349968776528524
tt0099856,4.1,2678,The Invisible Maniac,1990,4.939020591237692,-0.8390205912376922
tt0099871,7.5,103216,Jacob's Ladder,1990,7.460399392845814,0.039600607154185674
tt0099892,5.9,36026,Joe Versus the Volcano,1990,6.127239818366966,-0.22723981836696527
tt0099902,7.7,8064,Ju Dou,1990,7.155641835803223,0.544358164196777
tt0099935,3.8,1584,Killer Tomatoes Strike Back!,1991,3.895752274359802,-0.09575227435980205
tt0099938,6.2,142439,Kindergarten Cop,1990,6.061647341098982,0.13835265890101844
tt0099939,7.0,35276,King of New York,1990,6.352035050627563,0.6479649493724366
tt0099949,7.4,1351,Korczak,1990,6.11865525223354,1.2813447477664601
tt0099951,6.6,8139,The Krays,1990,6.263158872414791,0.3368411275852088
tt0099969,3.5,1095,Lambada,1990,4.6841338240931805,-1.1841338240931805
tt0099991,5.8,1326,The Last of the Finest,1990,5.7442767807175334,0.055723219282466374
tt0099994,5.1,15359,Leatherface: Texas Chainsaw Massacre III,1990,4.503167484135714,0.5968325158642855
tt0100024,7.5,9808,Life Is Sweet,1990,7.171086972594681,0.3289130274053189
tt0100029,6.2,34722,Lionheart,1990,5.480350468542779,0.7196495314572209
tt0100046,7.3,3736,The Long Walk Home,1990,7.042207025653241,0.2577929743467591
tt0100047,6.4,1014,Lung dik chuen yan,1991,6.658866487088577,-0.25886648708857685
tt0100050,4.7,45748,Look Who's Talking Too,1990,4.98125355000804,-0.28125355000803953
tt0100053,4.9,4674,Loose Cannons,1990,3.5961911139836555,1.3038088860163448
tt0100054,6.4,30072,Lord of the Flies,1990,6.031172150752076,0.368827849247924
tt0100065,5.7,1252,Love at Large,1990,5.283792052165032,0.41620794783496784
tt0100087,5.4,3135,Madhouse,1990,5.14203238905114,0.2579676109488602
